date,sales,expenses,marketing_spend,employee_count,seasonality,competition_level,customer_satisfaction,market_growth,profit,month,expense_ratio,marketing_ratio,profit_margin,sales_per_employee,marketing_efficiency,year,quarter,day_of_year,day_of_week,is_quarter_end,sales_lag_7,profit_lag_7,sales_growth
2021-01-01,20496.40447728799,11960.253548885601,2757.262137228993,3.0,0.0,3,5.0,0.8,3378.8887911733955,1,0.583529348385895,0.1345241864388609,16.485275721981058,6832.134825762663,7.4336074907576855,2021,1,1,4,0,25281.94764805873,-8267.778588454285,0.0
2021-01-02,19341.993165913722,11532.936564190473,3260.498088150917,5.0,0.017213356155834685,2,3.1241884285302906,0.8005005005005006,548.5585135723322,1,0.5962641215546958,0.1685709461368683,2.836101268710267,3868.3986331827446,5.932220367251585,2021,1,2,5,0,25281.94764805873,-8267.778588454285,-5.632262539771149
2021-01-03,18738.88924825708,10847.123588454268,1599.3885117400698,5.0,0.03442161162274574,3,3.6270048407500344,0.801001001001001,2292.377148062744,1,0.5788562728958531,0.08535129753695675,12.233260561460224,3747.777849651416,11.716283511296407,2021,1,3,6,0,25281.94764805873,-8267.778588454285,-3.1181063527593755
2021-01-04,18444.91976227986,10912.971092548396,2587.1693025035706,4.0,0.051619667223253764,3,4.424805335560902,0.8015015015015016,1744.779367227893,1,0.5916518604144642,0.1402646005429837,9.459403400582925,4611.229940569965,7.129382582125935,2021,1,4,0,0,25281.94764805873,-8267.778588454285,-1.5687668681032552
2021-01-05,19122.47560710473,10526.678030785946,2417.9315685411375,5.0,0.06880242680231986,4,3.0132048770150384,0.802002002002002,2737.888189252125,1,0.5504871987848102,0.1264444843973436,14.317645086888723,3824.495121420946,7.908609100398281,2021,1,5,1,0,25281.94764805873,-8267.778588454285,3.673400879793909
2021-01-06,18730.88297885569,11345.176640999882,1515.2779853812046,6.0,0.08596479873744647,5,2.693705669422296,0.8025025025025025,1070.4283524746043,1,0.6056936372837765,0.08089730671489018,5.71477785474905,3121.8138298092817,12.361350959733956,2021,1,6,2,0,25281.94764805873,-8267.778588454285,-2.0478134541510373
2021-01-07,20999.5492588739,12600.332293005453,1158.0732555275067,5.0,0.10310169744743485,3,3.7029898374198664,0.8030030030030031,3241.1437103409407,1,0.6000287024104033,0.0551475291803291,15.434348949043809,4199.90985177478,18.133178672974818,2021,1,7,3,0,25281.94764805873,-8267.778588454285,12.111902479873415
2021-01-08,20025.42771864144,11606.71231565077,1009.2527560198158,3.0,0.1202080448993527,1,2.065538881670088,0.8035035035035035,5009.462646970855,1,0.579598722120987,0.05039856177854888,25.015508868794868,6675.14257288048,19.84183605067932,2021,1,8,4,0,20496.40447728799,3378.8887911733955,-4.638773567107968
2021-01-09,19722.697992682944,12163.241629825969,2301.6672387258386,6.0,0.13727877211326478,3,3.2696751385056637,0.8040040040040041,457.7891241311372,1,0.6167128672932319,0.11670143910228456,2.321128297462018,3287.1163321138242,8.568874623075867,2021,1,9,5,0,19341.993165913722,548.5585135723322,-1.511726641806943
2021-01-10,18220.24780564689,11400.933752201412,1808.9983718024655,3.0,0.15430882066428117,3,3.6960309314523245,0.8045045045045045,2610.315681643013,1,0.6257287976439042,0.09928505863909347,14.326455432916854,6073.41593521563,10.07200895791434,2021,1,10,6,0,18738.88924825708,2292.377148062744,-7.617873516054741
